Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500091,Core Healthcare ltd.,COREPARENT,CORE HEALTHCARE LTD.,Delisted,B ,10.00,INE494A01017,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity,Finance,Other Financial Services,Other Financial Services,Other Financial Services,
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.00,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500094,"C.T. Cotton Yarn Ltd.,",CTCOTTON,CT COTTON YARN LTD.,Delisted,XD,10.00,INE107D01019,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
500095,Wyeth Ltd.,WYETH,WYETH LTD.,Delisted,B ,10.00,INE378A01012,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity,FMCG (Fast Moving Consumer Goods),Household & Personal Products,Personal Products,Personal Products,
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500098,Skyline NEPC Ltd,SKYLNEPC,SKYLINE NEPC LTD.,Delisted,B ,10.00,INE575B01011,-,Equity,-,-,-,-,
500099,Central India Polyesters Ltd.,CENTINPO,CENTRAL INDIA POLYESTERS LTD.,Delisted,B ,10.00,INE496A01020,-,Equity,-,-,-,-,
500100,Daewoo Motors India Ltd.,DAEWOO,DAEWOO MOTORS (INDIA) LTD.,Delisted,XD,10.00,INE497A01010,Cars & Utility Vehicles,Equity,CDGS (Consumer Discretionary Goods & Services),Automobiles & Auto Components,Automobiles,Cars & Utility Vehicles,
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
500102,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Suspended,Z ,2.00,INE294A01037,Paper & Paper Products,Equity,Basic Materials,Forest Materials,Paper & Forest Products,Paper & Paper Products,
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity,Energy,Oil & Gas,Oil & Gas Producers,Refineries/ Petroleum Products,
500105,"Indian Petrochemicals Corpn. Ltd.,",IPCL,INDIAN PETROCHEMICALS CORP.LTD.,Delisted,B ,10.00,INE006A01019,-,Equity,-,-,-,-,
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity,Finance,Other Financial Services,Other Financial Services,Financial Institutions,
500107,"Jindal Iron & Steel Co Ltd.,",JINDALIRON,JINDAL IRON & STEEL CO.LTD.,Delisted,B ,10.00,INE020A01010,-,Equity,-,-,-,-,
500108,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A ,10.00,INE153A01019,Telecom Services,Equity,Telecom,Telecom Services,Telecom Services,Telecommunication Services,
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity,Energy,Oil & Gas,Oil & Gas Producers,Refineries/ Petroleum Products,
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Refineries/ Petro-Products,Equity,Energy,Oil & Gas,Oil & Gas Producers,Refineries/ Petroleum Products,
500111,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10.00,INE013A01015,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Banks,Equity,Finance,Banks,Banks,Banks,
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Other Apparels & Accessories,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Other Apparels & Accessories,
500115,Masterplus - 91 (Scheme of UTI)-OE.not.45507/00,MSTRP,MSTRP,Delisted,Z ,10.00,INF189A01061,-,Equity,-,-,-,-,
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity,Finance,Banks,Banks,Banks,
500117,"DCW Ltd.,",DCW,DCW LTD.,Active,B ,2.00,INE500A01029,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals,
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10.00,INE041A01016,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500120,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X ,10.00,INE591D01014,Specialty Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Specialty Chemicals,
500121,Digital Globalsoft Ltd.,DIGITAL,DIGITAL GLOBALSOFT LTD.,Delisted,B ,10.00,INE124A01010,-,Equity,-,-,-,-,
500122,Ambuja Cement Rajasthan Ltd,AMBUJACEMR,AMBUJA CEMENT RAJASTHAN LTD.,Delisted,Z ,10.00,INE125A01017,-,Equity,-,-,-,-,
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B ,10.00,INE280B01018,Commodity Chemicals,Equity,Basic Materials,Chemicals & Petrochemicals,Chemicals,Commodity Chemicals,
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Pharmaceuticals,Equity,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500127,Eastern Mining & Allied Ltd,ESTMNAL,EASTERN MINING & ALLIED LTD.,Delisted,P ,10.00,NA          ,Coal,Equity,Energy,Coal,Coal,Coal,
500128,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.00,INE086A01029,Other Industrial Products,Equity,Industrials,General Industrials,General Industrials,Other Industrial Products,
500129,"Elgi Auto Parts Ltd.,",ELAUPAR-BDM,ELGI AUTO PARTS LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500130,"Elgi Finance Ltd.,",ELGIF,ELGI FINANCE LTD.,Delisted,T ,10.00,INE424D01018,Finance (including NBFCs),Equity,Finance,Other Financial Services,Other Financial Services,Other Finance companies (including NBFCs),
500131,Elgitread (India)  Ltd.,ELGITR,ELGITREAD (INDIA) LTD.,Delisted,B ,1.00,INE257B01024,-,Equity,-,-,-,-,
500132,Empee Sugars & Chemicals Ltd.,EMPEESUG,EMPEE SUGARS & CHEMICALS LTD.,Suspended,Z ,10.00,INE928B01012,Sugar,Equity,FMCG (Fast Moving Consumer Goods),"Food, Beverages & Tobacco",Agricultural Food Products,Sugar,
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10.00,INE284A01012,Other Industrial Goods,Equity,Industrials,Capital Goods,Machinery,Other Industrial Goods,
500134,Essar Oil Ltd.,ESSAROIL,ESSAR OIL LTD.,Delisted,A ,10.00,INE011A01019,Integrated Oil & Gas,Equity,Energy,Oil & Gas,Oil & Gas Producers,Integrated Oil & Gas,
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging,
500136,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.00,INE778B01029,Containers & Packaging,Equity,Industrials,General Industrials,General Industrials,Containers & Packaging,
500138,Uniworth Textiles Ltd.,UNIWORTHT,UNIWORTH TEXTILES LTD.,Suspended,X ,10.00,INE486C01019,Textiles,Equity,CDGS (Consumer Discretionary Goods & Services),"Textiles, Apparels & Accessories","Textiles, Apparels & Accessories",Textiles,
500139,Fedders Electric and Engineering Limited,FEDDERELEC,Fedders Electric and Engineering Ltd,Suspended,Z ,10.00,INE249C01011,Other Elect.Equip./ Prod.,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment/ Products,
500140,Femnor Mineral (India) Ltd.,FEMNORM-B,FEMNOR MINERAL (INDIA) LTD.,Delisted,Z ,10.00,NA          ,-,Equity,-,-,-,-,
500141,"Ferro Alloys Corporation Ltd.,",FERROALL,FERRO ALLOYS CORPORATION LTD.,Delisted,X ,1.00,INE912A01026,Iron & Steel/Interm.Products,Equity,Basic Materials,Metals & Mining,Steel,Iron & Steel and Intermediary Products,
